"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","533","Create user","LMS service","Mon Aug 04 16:07:37 GMT 2025","passed","Mon Aug 04 16:07:37 GMT 2025","Create entity","Users","",""
"","303","Get courses","LMS service","Mon Aug 04 16:07:30 GMT 2025","passed","Mon Aug 04 16:07:30 GMT 2025","Get entities","Courses","",""
"","290","Update exercise","LMS service","Mon Aug 04 16:07:32 GMT 2025","passed","Mon Aug 04 16:07:32 GMT 2025","Update entity","Exercises","",""
"","32","Update course","LMS service","Mon Aug 04 16:07:30 GMT 2025","passed","Mon Aug 04 16:07:30 GMT 2025","Update entity","Courses","",""
"","264","Create file","LMS service","Mon Aug 04 16:07:34 GMT 2025","passed","Mon Aug 04 16:07:34 GMT 2025","Create entity","Files","",""
"","290","Create user","LMS service","Mon Aug 04 16:07:37 GMT 2025","passed","Mon Aug 04 16:07:38 GMT 2025","Create entity","Users","",""
"","286","Login with correct email and password","LMS service","Mon Aug 04 16:07:29 GMT 2025","passed","Mon Aug 04 16:07:29 GMT 2025","Login","Authentication","",""
"","263","Get file with incorrect file id","LMS service","Mon Aug 04 16:07:37 GMT 2025","passed","Mon Aug 04 16:07:37 GMT 2025","Validate entity","Files","",""
"","16","Get exercises","LMS service","Mon Aug 04 16:07:34 GMT 2025","passed","Mon Aug 04 16:07:34 GMT 2025","Get entities","Exercises","",""
"","266","Create file with empty directory","LMS service","Mon Aug 04 16:07:36 GMT 2025","passed","Mon Aug 04 16:07:36 GMT 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Mon Aug 04 16:07:35 GMT 2025","passed","Mon Aug 04 16:07:35 GMT 2025","Get entity","Files","",""
"","567","Create user","LMS service","Mon Aug 04 16:07:37 GMT 2025","passed","Mon Aug 04 16:07:38 GMT 2025","Create entity","Users","",""
"","290","Delete exercise","LMS service","Mon Aug 04 16:07:33 GMT 2025","passed","Mon Aug 04 16:07:34 GMT 2025","Delete entity","Exercises","",""
"","25","Delete file","LMS service","Mon Aug 04 16:07:37 GMT 2025","passed","Mon Aug 04 16:07:37 GMT 2025","Delete entity","Files","",""
"","12","Get user me","LMS service","Mon Aug 04 16:07:39 GMT 2025","passed","Mon Aug 04 16:07:39 GMT 2025","Get entity","Users","",""
"","31","Create course","LMS service","Mon Aug 04 16:07:31 GMT 2025","passed","Mon Aug 04 16:07:31 GMT 2025","Create entity","Courses","",""
"","25","Create exercise","LMS service","Mon Aug 04 16:07:31 GMT 2025","passed","Mon Aug 04 16:07:32 GMT 2025","Create entity","Exercises","",""
"","259","Create file with empty filename","LMS service","Mon Aug 04 16:07:35 GMT 2025","passed","Mon Aug 04 16:07:36 GMT 2025","Validate entity","Files","",""
"","18","Get exercise","LMS service","Mon Aug 04 16:07:33 GMT 2025","passed","Mon Aug 04 16:07:33 GMT 2025","Get entity","Exercises","",""
