"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","Create file with empty directory","LMS service","Mon Aug 04 16:23:17 GMT 2025","passed","Mon Aug 04 16:23:17 GMT 2025","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Mon Aug 04 16:23:13 GMT 2025","passed","Mon Aug 04 16:23:13 GMT 2025","Delete entity","Exercises","",""
"","15","Get file","LMS service","Mon Aug 04 16:23:16 GMT 2025","passed","Mon Aug 04 16:23:16 GMT 2025","Get entity","Files","",""
"","18","Update exercise","LMS service","Mon Aug 04 16:23:12 GMT 2025","passed","Mon Aug 04 16:23:12 GMT 2025","Update entity","Exercises","",""
"","31","Update course","LMS service","Mon Aug 04 16:23:11 GMT 2025","passed","Mon Aug 04 16:23:11 GMT 2025","Update entity","Courses","",""
"","18","Get exercises","LMS service","Mon Aug 04 16:23:15 GMT 2025","passed","Mon Aug 04 16:23:15 GMT 2025","Get entities","Exercises","",""
"","23","Get exercise","LMS service","Mon Aug 04 16:23:13 GMT 2025","passed","Mon Aug 04 16:23:13 GMT 2025","Get entity","Exercises","",""
"","265","Get file with incorrect file id","LMS service","Mon Aug 04 16:23:17 GMT 2025","passed","Mon Aug 04 16:23:18 GMT 2025","Validate entity","Files","",""
"","553","Create user","LMS service","Mon Aug 04 16:23:17 GMT 2025","passed","Mon Aug 04 16:23:18 GMT 2025","Create entity","Users","",""
"","558","Create user","LMS service","Mon Aug 04 16:23:18 GMT 2025","passed","Mon Aug 04 16:23:18 GMT 2025","Create entity","Users","",""
"","20","Create file","LMS service","Mon Aug 04 16:23:15 GMT 2025","passed","Mon Aug 04 16:23:15 GMT 2025","Create entity","Files","",""
"","562","Create user","LMS service","Mon Aug 04 16:23:18 GMT 2025","passed","Mon Aug 04 16:23:18 GMT 2025","Create entity","Users","",""
"","258","Create file with empty filename","LMS service","Mon Aug 04 16:23:15 GMT 2025","passed","Mon Aug 04 16:23:16 GMT 2025","Validate entity","Files","",""
"","554","Login with correct email and password","LMS service","Mon Aug 04 16:23:09 GMT 2025","passed","Mon Aug 04 16:23:10 GMT 2025","Login","Authentication","",""
"","13","Get user me","LMS service","Mon Aug 04 16:23:19 GMT 2025","passed","Mon Aug 04 16:23:19 GMT 2025","Get entity","Users","",""
"","292","Delete file","LMS service","Mon Aug 04 16:23:17 GMT 2025","passed","Mon Aug 04 16:23:17 GMT 2025","Delete entity","Files","",""
"","30","Get courses","LMS service","Mon Aug 04 16:23:10 GMT 2025","passed","Mon Aug 04 16:23:10 GMT 2025","Get entities","Courses","",""
"","24","Create exercise","LMS service","Mon Aug 04 16:23:12 GMT 2025","passed","Mon Aug 04 16:23:12 GMT 2025","Create entity","Exercises","",""
"","30","Create course","LMS service","Mon Aug 04 16:23:11 GMT 2025","passed","Mon Aug 04 16:23:11 GMT 2025","Create entity","Courses","",""
