"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Create file with empty directory","LMS service","Mon Aug 04 15:55:53 GMT 2025","passed","Mon Aug 04 15:55:53 GMT 2025","Validate entity","Files","",""
"","554","Login with correct email and password","LMS service","Mon Aug 04 15:55:46 GMT 2025","passed","Mon Aug 04 15:55:46 GMT 2025","Login","Authentication","",""
"","21","Update exercise","LMS service","Mon Aug 04 15:55:49 GMT 2025","passed","Mon Aug 04 15:55:49 GMT 2025","Update entity","Exercises","",""
"","13","Get file","LMS service","Mon Aug 04 15:55:52 GMT 2025","passed","Mon Aug 04 15:55:52 GMT 2025","Get entity","Files","",""
"","542","Create user","LMS service","Mon Aug 04 15:55:54 GMT 2025","passed","Mon Aug 04 15:55:54 GMT 2025","Create entity","Users","",""
"","290","Get exercise","LMS service","Mon Aug 04 15:55:49 GMT 2025","passed","Mon Aug 04 15:55:50 GMT 2025","Get entity","Exercises","",""
"","287","Create user","LMS service","Mon Aug 04 15:55:54 GMT 2025","passed","Mon Aug 04 15:55:55 GMT 2025","Create entity","Users","",""
"","556","Create user","LMS service","Mon Aug 04 15:55:54 GMT 2025","passed","Mon Aug 04 15:55:55 GMT 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Mon Aug 04 15:55:48 GMT 2025","passed","Mon Aug 04 15:55:48 GMT 2025","Create entity","Exercises","",""
"","16","Create file","LMS service","Mon Aug 04 15:55:51 GMT 2025","passed","Mon Aug 04 15:55:51 GMT 2025","Create entity","Files","",""
"","300","Delete file","LMS service","Mon Aug 04 15:55:53 GMT 2025","passed","Mon Aug 04 15:55:54 GMT 2025","Delete entity","Files","",""
"","29","Create course","LMS service","Mon Aug 04 15:55:48 GMT 2025","passed","Mon Aug 04 15:55:48 GMT 2025","Create entity","Courses","",""
"","287","Get exercises","LMS service","Mon Aug 04 15:55:51 GMT 2025","passed","Mon Aug 04 15:55:51 GMT 2025","Get entities","Exercises","",""
"","26","Get courses","LMS service","Mon Aug 04 15:55:47 GMT 2025","passed","Mon Aug 04 15:55:47 GMT 2025","Get entities","Courses","",""
"","265","Get file with incorrect file id","LMS service","Mon Aug 04 15:55:54 GMT 2025","passed","Mon Aug 04 15:55:54 GMT 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Mon Aug 04 15:55:55 GMT 2025","passed","Mon Aug 04 15:55:55 GMT 2025","Get entity","Users","",""
"","16","Create file with empty filename","LMS service","Mon Aug 04 15:55:52 GMT 2025","passed","Mon Aug 04 15:55:52 GMT 2025","Validate entity","Files","",""
"","18","Delete exercise","LMS service","Mon Aug 04 15:55:50 GMT 2025","passed","Mon Aug 04 15:55:50 GMT 2025","Delete entity","Exercises","",""
"","27","Update course","LMS service","Mon Aug 04 15:55:47 GMT 2025","passed","Mon Aug 04 15:55:47 GMT 2025","Update entity","Courses","",""
