"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file","LMS service","Mon Aug 04 16:04:47 GMT 2025","passed","Mon Aug 04 16:04:47 GMT 2025","Get entity","Files","",""
"","20","Get exercise","LMS service","Mon Aug 04 16:04:45 GMT 2025","passed","Mon Aug 04 16:04:45 GMT 2025","Get entity","Exercises","",""
"","11","Get user me","LMS service","Mon Aug 04 16:04:50 GMT 2025","passed","Mon Aug 04 16:04:50 GMT 2025","Get entity","Users","",""
"","30","Create course","LMS service","Mon Aug 04 16:04:42 GMT 2025","passed","Mon Aug 04 16:04:42 GMT 2025","Create entity","Courses","",""
"","22","Delete file","LMS service","Mon Aug 04 16:04:48 GMT 2025","passed","Mon Aug 04 16:04:48 GMT 2025","Delete entity","Files","",""
"","19","Get exercises","LMS service","Mon Aug 04 16:04:46 GMT 2025","passed","Mon Aug 04 16:04:46 GMT 2025","Get entities","Exercises","",""
"","257","Get file with incorrect file id","LMS service","Mon Aug 04 16:04:49 GMT 2025","passed","Mon Aug 04 16:04:49 GMT 2025","Validate entity","Files","",""
"","17","Delete exercise","LMS service","Mon Aug 04 16:04:45 GMT 2025","passed","Mon Aug 04 16:04:45 GMT 2025","Delete entity","Exercises","",""
"","560","Create user","LMS service","Mon Aug 04 16:04:49 GMT 2025","passed","Mon Aug 04 16:04:50 GMT 2025","Create entity","Users","",""
"","261","Create file with empty filename","LMS service","Mon Aug 04 16:04:47 GMT 2025","passed","Mon Aug 04 16:04:47 GMT 2025","Validate entity","Files","",""
"","296","Update course","LMS service","Mon Aug 04 16:04:42 GMT 2025","passed","Mon Aug 04 16:04:42 GMT 2025","Update entity","Courses","",""
"","527","Create user","LMS service","Mon Aug 04 16:04:49 GMT 2025","passed","Mon Aug 04 16:04:49 GMT 2025","Create entity","Users","",""
"","263","Create file with empty directory","LMS service","Mon Aug 04 16:04:48 GMT 2025","passed","Mon Aug 04 16:04:48 GMT 2025","Validate entity","Files","",""
"","20","Update exercise","LMS service","Mon Aug 04 16:04:43 GMT 2025","passed","Mon Aug 04 16:04:43 GMT 2025","Update entity","Exercises","",""
"","26","Get courses","LMS service","Mon Aug 04 16:04:41 GMT 2025","passed","Mon Aug 04 16:04:41 GMT 2025","Get entities","Courses","",""
"","22","Create exercise","LMS service","Mon Aug 04 16:04:43 GMT 2025","passed","Mon Aug 04 16:04:43 GMT 2025","Create entity","Exercises","",""
"","524","Create user","LMS service","Mon Aug 04 16:04:48 GMT 2025","passed","Mon Aug 04 16:04:49 GMT 2025","Create entity","Users","",""
"","286","Login with correct email and password","LMS service","Mon Aug 04 16:04:41 GMT 2025","passed","Mon Aug 04 16:04:41 GMT 2025","Login","Authentication","",""
"","19","Create file","LMS service","Mon Aug 04 16:04:46 GMT 2025","passed","Mon Aug 04 16:04:46 GMT 2025","Create entity","Files","",""
